date,ref,outcome,company,keyword,url
2025-02-05,A24-1257127,Upheld,Wireless Group Media (GB) Ltd,climate,https://www.asa.org.uk/rulings/wireless-group-media--gb--ltd-a24-1257127-wireless-group-media--gb--ltd.html
2025-01-29,A24-1253433,Upheld,Visual Stress Consultancy Ltd,green,https://www.asa.org.uk/rulings/visual-stress-consultancy-ltd-a24-1253433-visual-stress-consultancy-ltd.html
2025-01-08,A24-1254018,Upheld,"Vacaciones eDreams, S.L.",environmental,https://www.asa.org.uk/rulings/vacaciones-edreams--s-l--a24-1254018-vacaciones-edreams-sl.html
2024-12-18,A24-1244509,Upheld,Lloyds Bank plc,environmental,https://www.asa.org.uk/rulings/lloyds-bank-plc-a24-1244509-lloyds-bank-plc.html
2024-12-18,A24-1251637,Upheld,Heineken UK Ltd,green,https://www.asa.org.uk/rulings/heineken-uk-ltd-a24-1251637-heineken-uk-ltd.html
2024-12-11,A24-1252405,Upheld,Ignite Sustainable Energy Ltd,sustainable,https://www.asa.org.uk/rulings/ignite-sustainable-energy-ltd-a24-1252405-ignite-sustainable-energy-ltd.html
2024-11-27,A24-1253458,Upheld,Wizz Air Hungary Ltd,environmental,https://www.asa.org.uk/rulings/wizz-air-hungary-ltd-a24-1253458-wizz-air-hungary-ltd.html
2024-10-23,A24-1248087,Upheld,Webloyalty International Ltd,green,https://www.asa.org.uk/rulings/webloyalty-international-ltd-a24-1248087-webloyalty-international-sarl-ltd.html
2024-10-23,G24-1229880,Upheld,Webloyalty International Ltd,green,https://www.asa.org.uk/rulings/webloyalty-international-ltd-g24-1229880-webloyalty-international-sarl-ltd.html
2024-09-25,A24-1247950,Upheld,Mazda Motors UK Ltd,environmental,https://www.asa.org.uk/rulings/mazda-motors-uk-ltd-a24-1247950-mazda-motors-uk-ltd.html
2024-09-25,A24-1240834,Upheld,Huel Ltd,green,https://www.asa.org.uk/rulings/huel-ltd-a24-1240834-huel-ltd.html
2024-09-25,A24-1241344,Upheld,Reiss Ltd,green,https://www.asa.org.uk/rulings/reiss-ltd-a24-1241344-reiss-ltd.html
2024-09-25,A24-1241355,Upheld,Zeroo Gravity Games LLC,climate,https://www.asa.org.uk/rulings/zeroo-gravity-games-llc-a24-1241355-zeroo-gravity-games-llc.html
2024-09-25,A24-1241357,Upheld,Mobee Co Ltd,climate,https://www.asa.org.uk/rulings/mobee-co-ltd-a24-1241357-mobee-co-ltd.html
2024-09-11,A24-1241017,Upheld,Femgroup Ltd,green,https://www.asa.org.uk/rulings/femgroup-ltd-a24-1241017-femgroup-ltd.html
2024-08-14,G24-1237493,Upheld,Huel Ltd,green,https://www.asa.org.uk/rulings/huel-ltd-g24-1237493-huel-ltd.html
2024-08-14,A24-1247028,Not upheld,Aston Manor Ltd,green,https://www.asa.org.uk/rulings/aston-manor-ltd-a24-1247028-aston-manor-ltd.html
2024-08-07,G23-1224417,Upheld,Virgin Atlantic Airways Ltd,environmental,https://www.asa.org.uk/rulings/virgin-atlantic-airways-ltd-g23-1224417-virgin-atlantic-airways-ltd.html
2024-07-31,A24-1245866,Upheld,Gelcard Ltd,climate,https://www.asa.org.uk/rulings/gelcard-ltd-a24-1245866-gelcard-ltd.html
2024-07-24,G24-1248968,Upheld,Person(s) unknown,green,https://www.asa.org.uk/rulings/person-s--unknown-g24-1248968-person-s--unknown.html
2024-07-24,A24-1239905,Upheld,Nowt Ventures Ltd,green,https://www.asa.org.uk/rulings/nowt-ventures-ltd-a24-1239905-nowt-ventures-ltd.html
2024-07-17,A24-1237378,Upheld,Hurtigruten UK Ltd,environmental,https://www.asa.org.uk/rulings/hurtigruten-uk-ltd-a24-1237378-hurtigruten-uk-ltd.html
2024-07-10,G24-1241707,Upheld,London Luton Airport Ltd,environmental,https://www.asa.org.uk/rulings/london-luton-airport-ltd.html
2024-07-10,A24-1236471,Upheld,Wessex Water Services Ltd,environmental,https://www.asa.org.uk/rulings/wessex-water-services-ltd-a24-1236471-wessex-water-services-ltd.html
2024-07-03,A24-1241337,Upheld,Aspire Nutrition,green,https://www.asa.org.uk/rulings/aspire-nutrition-a24-1241337-aspire-nutrition.html
2024-06-19,A24-1231334,Upheld,Fussy Ltd,green,https://www.asa.org.uk/rulings/fussy-ltd-a24-1231334-fussy-ltd.html
2024-05-08,A23-1207275,Upheld,Tecnología Sostenible y Responsable SL (TSR),sustainable,https://www.asa.org.uk/rulings/tecnologia-sostenible-y-responsable-sl--tsr--a23-1207275-tecnologia-sostenible-y-responsable-sl.html
2024-04-10,A23-1189013,Upheld,The Sky Mining Company Ltd,environmental,https://www.asa.org.uk/rulings/the-sky-mining-company-ltd-a23-1189013-the-sky-mining-company-ltd.html
2024-04-03,A23-1216884,Upheld,Mous Products Ltd,environmental,https://www.asa.org.uk/rulings/mous-products-ltd-a23-1216884-mous-products-ltd.html
2024-04-03,A23-1221685,Upheld,John Mills Ltd,environmental,https://www.asa.org.uk/rulings/john-mills-ltd-a23-1221685-john-mills-ltd.html
2024-04-03,A23-1213924,Upheld,Top Games Inc,climate,https://www.asa.org.uk/rulings/top-games-inc-a23-1213924-top-games-inc.html
2024-03-27,G23-1215528,Upheld,Easigrass (Distribution) Ltd,environmental,https://www.asa.org.uk/rulings/easigrass--distribution--ltd-g23-1215528-easigrass--distribution--ltd.html
2024-03-20,A24-1228196,,Hing Fo International Ltd,green,https://www.asa.org.uk/rulings/hing-fo-international-ltd-a24-1228196-hing-fo-international-ltd.html
2024-03-20,A23-1226999,Upheld,Lindar Media Ltd,climate,https://www.asa.org.uk/rulings/lindar-media-ltd-a23-1226999-lindar-media-ltd.html
2024-03-06,A23-1213406,Upheld,6G Internet Ltd,green,https://www.asa.org.uk/rulings/6g-internet-ltd-a23-1213406-6g-internet-ltd.html
