의결일,사건번호,의결번호,조치,사건명,수집키워드
1999-05-06,9811광고1926,약식1999-064,시정명령,(주)태경그린의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1935,약식1999-064,시정명령,(주)신세계백화점의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1929,약식1999-064,시정명령,대한통운(주)의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1932,약식1999-064,시정명령,국민신용카드(주)의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1933,약식1999-064,시정명령,엘지신용카드(주)의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1949,약식1999-064,시정명령,제일상사의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1928,약식1999-064,시정명령,비씨카드(주)의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1934,약식1999-064,시정명령,에스케이상사(주)의 부당한 광고행위에 대한 건,그린
1999-05-06,9811광고1936,약식1999-064,시정명령,롯데쇼핑(주)의 부당한 광고행위에 대한 건,그린
1999-03-22,9811구사2047,약식1999-039,시정명령,(주)태화의 부당한 광고행위에 대한 건,환경
1999-03-22,9902부사0157,의결1999-033,시정명령,경인주유소의 석유판매업에 있어서의 공급자표시 위반행위에 대한 건,환경
1999-03-17,9812광고2184,의결1999-031,시정명령,(주)신한은행의 부당한 광고행위에 대한 건,그린
1999-03-15,9812광고2179,약식1999-024,시정명령,중앙엠앤비(주)의 부당한 광고행위에 대한 건,환경
1999-03-15,9812광고2145,약식1999-024,시정명령,현대개발컨설팅(주)의 부당한 광고행위에 대한 건,환경
1998-09-11,9805광고0740,의결1998-216,시정명령,(주)지상주택 및 (주)대우의 부당한 광고행위에 대한 건,그린
1997-12-30,9707조일1055,재결1997-038,일부인용,로켓트보일러공업(주)의 이의신청에 대한 건,환경
1997-12-03,9710광고1413,의결1997-180,시정명령,삼성에버랜드(주)의 부당한 광고행위에 대한 건,그린
1997-12-03,9710광고1414,의결1997-180,시정명령,선도전기(주)의 부당한 광고행위에 대한 건,그린
1997-12-03,9710광고1416,의결1997-180,시정명령,대덕에너지(주)의 부당한 광고행위에 대한 건,그린
1997-12-03,9710광고1415,의결1997-180,시정명령,(주)그린쏠라의 부당한 광고행위에 대한 건,그린
1997-12-03,9710광고1417,의결1997-180,시정명령,(주)대원보일러의 부당한 광고행위에 대한 건,그린
1997-12-03,9710광고1418,의결1997-180,시정명령,해천국민쏠라(주)의 부당한 광고행위에 대한 건,그린
1997-11-27,9704기획0598,의결1997-169,과징금,한국비누세제공업협동조합의 부당한 광고행위에 대한 건,환경
1997-11-05,9706기획0825,의결1997-158,시정명령,목화스폴침대의 부당한 광고행위에 대한 건,환경
1997-10-20,9706광고0871,의결1997-150,시정명령,(주)국가고시중앙회의 부당한 광고행위에 대한 건,환경
1997-10-20,9703광고0396,의결1997-151,시정명령,강남태양열(주)의 부당한 광고행위에 대한건,그린
1997-09-10,9706광고0839,의결1997-143,시정명령,(주)뉴코아의 부당한 표시행위에 대한 건,그린
1997-09-06,9702광고0279,의결1997-136,시정명령,(주)일우코리아의 부당한 광고행위에 대한 건,환경
1997-08-19,9706기획0936,재결1997-026,일부인용,쌍용정유(주)의 이의신청에 대한 건,환경
1997-06-13,9703기획0375,의결1997-090,시정명령,(주)세일크리너의 부당한 광고행위에 대한 건,환경
1997-05-15,9704조이0551,의결1997-073,시정명령,쌍용정유(주)의 부당한 광고행위 등에 대한 건,환경
1997-04-18,9612광고1927,시권1997-106,시정권고,(주)님바스의 부당한 광고행위에 대한 건,환경
1997-03-31,9611광고1707,의결1997-048,시정명령,(주)대양합동의 부당한 광고행위에 대한 건,환경
1997-03-15,9609광고1359,시권1997-070,시정권고,제인상사(주)의 부당한 광고행위에 대한 건,환경
1997-01-10,9611광고1664,시권1997-005,시정권고,(주)생그린 천안지사의 부당한 광고행위에 대한 건,그린
1996-11-22,9610경촉1501,의결1996-312,시정명령,（주）에바스의　부당한　표시　．　광고행위등에　대한　건,그린
1996-11-22,9610경촉1502,의결1996-310,시정명령,(주)피어리스의　부당한　표시　．광고행위등에　대한　건,그린
1996-11-22,9606경촉0883,의결1996-304,시정명령,(주)한국화장품의 부당한 표시광고행위등에 대한 건,그린
1996-11-22,9610경촉1488,의결1996-308,시정명령,(주)엘지화학의 부당한 표시.광고등에 대한 건,그린
1996-11-22,9610경촉1538,의결1996-303,시정명령,(주)태평양의 부당한 표시.광고행위등에 대한 건,그린
1996-11-22,9606경촉0882,의결1996-305,시정명령,(주)나드리화장품의 부당한 표시광고행위등에 대한 건,그린
1996-11-22,9610경촉1539,의결1996-307,시정명령,로제화장품(주)의 부당한 표시.광고행위등에 대한 건,그린
1996-11-08,9607기획1041,의결1996-268,시정명령,한국유리공업(주)의 부당한 광고행위에 대한 건,환경
1996-09-17,9607광고1072,의결1996-234,시정명령,(주)제주은행의 부당한 광고행위에 대한 건,환경
1996-05-08,9512광고1106,의결1996-063,시정명령,두산개발(주)의 부당한 광고행위에 대한 건,그린
1996-01-29,9510광고940,의결1996-008,시정명령,쌍용정유(주)의 부당한 광고행위에 대한 건,환경
1995-08-07,9504구사363,의결1995-183,시정명령,(주)금복주의 부당한 광고행위에 대한 건,탄소
1995-05-20,9503광고274,의결1995-097,시정명령,도서출판국민교육신문사의 부당한 광고행위에 대한 건,환경
1994-10-17,9405광고319,의결1994-319,시정명령,(주)그린파워의 부당한광고행위에 대한건,그린
1994-10-17,9405광고334,의결1994-320,시정명령,(주)엔젤라이프의 부당한광고행위에 대한건,그린
1994-08-25,9407광고482,의결1994-277,시정명령,대한교육평가원의 부당한광고행위에 대한건,환경
1994-08-25,9403광고174,의결1994-276,시정명령,(주)와이제이물산의 부당한 광고행위에 대한건,환경
1994-01-19,9309표660,의결1994-002,시정명령,한국제품연구의 부당한광고행위에 대한건,환경
1993-11-03,9308전사558,의결1993-255,시정명령,삼정종합건설(주)의 부당한 광고행위에 대한 건,환경
1993-11-03,9308표547,의결1993-254,시정명령,(주)세훈의 부당한광고행위에 대한건,그린
1993-06-16,9303표169,의결1993-084,시정명령,(주)아방약품의 부당한 광고행위에 대한 건,환경
1993-02-02,9211일581,의결1993-006,시정명령,(주)우송건설의 부당한 광고행위에 대한 건,환경
1991-10-08,9105표177,의결1991-130,시정명령,(주)흥양의 부당한 광고행위에 대한 건,환경
1991-10-02,9105일191,의결1991-127,시정명령,삼호물산(주)의부당한광고행위에대한건,환경
1991-08-14,9105표203,의결1991-073,시정명령,(주)럭키의부당한표시광고행위에 대한건,환경
1991-02-28,9008표161,의결1991-015,고발,파스퇴르유업(주)의 허위과장비방광고행위및 파스퇴르분유(주)의 부당한광고행위에대한 건,환경
1991-02-28,9008표232,의결1991-015,고발,파스퇴르분유(주)의 허위과장비방광고행위및 파스퇴르분유(주)의 부당한광고행위에대한 건,환경
1986-02-12,의결86-9,의결1986-009,시정명령,(주)크린랩의허위과장광고에대한건,그린
1985-12-30,의결85-95,의결1985-095,시정명령,(주)우성필름의허위과장광고에대한건,환경
1985-07-19,재결85-1,재결1985-001,재결기각,경인상사(주)의 시정명령에 대한 이의신청건,탄소
